Team Assists,Game,Total
1,Cornell at Binghamton (9/30/2025),7
2,Columbia vs Fordham (10/28/2025),6
3,Cornell at Dartmouth (10/4/2025),5
4,Columbia vs Manhattan (9/15/2025),4
5,Columbia vs Penn (9/28/2025),4
6,Penn vs Loyola Maryland (8/29/2025),4
7,Penn vs Drexel (9/16/2025),4
8,Penn vs Villanova (9/23/2025),4
9,Penn vs Yale (11/1/2025),4
10,Harvard vs California (9/10/2025),4
Team Saves,Game,Total
1,Dartmouth at Massachusetts (10/21/2025),10
2,Yale at Massachusetts (9/20/2025),10
3,Dartmouth vs Penn (10/25/2025),8
4,Yale vs Syracuse (9/1/2025),8
5,Brown at Cornell (10/25/2025),8
6,Dartmouth at Princeton (11/1/2025),7
7,Yale at Cornell (9/27/2025),7
8,Columbia at Yale (10/4/2025),7
9,Columbia at Princeton (10/18/2025),7
10,Harvard at Providence (9/5/2025),7
Team Goals,Game,Total
1,Penn vs William & Mary (10/14/2025),6
2,Cornell at Dartmouth (10/4/2025),6
3,Columbia vs Fordham (10/28/2025),5
4,Cornell at Binghamton (9/30/2025),5
5,Cornell vs Colgate (10/14/2025),5
6,Penn vs Loyola Maryland (8/29/2025),4
7,Harvard vs Brown (10/18/2025),4
8,Harvard at Stonehill (10/22/2025),4
9,Brown vs UMass Lowell (9/20/2025),4
10,Cornell vs Lafayette (11/20/2025),4
Team Shots,Shots,Total
1,Cornell vs Colgate (10/14/2025),37
2,Cornell vs NJIT (9/20/2025),32
3,Cornell at UConn (11/23/2025),31
4,Cornell at Binghamton (9/30/2025),26
5,Cornell vs Yale (9/27/2025),26
6,Penn vs Villanova (9/23/2025),25
7,Cornell vs Lafayette (11/20/2025),25
8,Princeton at Yale (10/25/2025),25
9,Cornell vs Brown (10/25/2025),24
10,Princeton at Villanova (9/13/2025),24
