Overall Results,,,Results By Team,,,
Date,Location,Result,Date,Opponent,Result,Attendance
11/23/2025,"Storrs, CT",Cornell 1 - 3 UConn,08/29/2025,Holy Cross,W 2-1,479
11/23/2025,"Princeton, N.J.",Princeton 1 - 2 Duke,09/01/2025,at Fairfield,W 1-0,533
11/20/2025,"Ithaca, N.Y.",Cornell 4 - 0 Lafayette,09/05/2025,at Boston U.,L 1-3,758
11/16/2025,"Princeton, N.J.",Cornell 0 - 2 Princeton,09/10/2025,UConn,L 1-3,263
11/13/2025,"Princeton, N.J.",Penn 0 - 1 Cornell,09/16/2025,at Rhode Island,W 1-0,118
11/13/2025,"Princeton, NJ",Harvard 1 - 3 Princeton,09/20/2025,UMass Lowell,W 4-1,266
11/08/2025,0,* Dartmouth 1 - 3 Harvard,09/23/2025,Providence,T 1-1,308
11/08/2025,"New Haven, CT",* Yale 1 - 0 Brown,09/27/2025,* Dartmouth,W 2-1,323
11/08/2025,"New York, N.Y.",* Columbia 0 - 1 Cornell,10/04/2025,* at Princeton,L 0-1,438
11/08/2025,"Philadelphia, Pa.",* Penn 0 - 1 Princeton,10/11/2025,* Penn,T 0-0,455
11/08/2025,0,* Harvard 3 - 1 Dartmouth,10/14/2025,Bryant,L 0-3,400
11/08/2025,"New Haven, CT",* Brown 0 - 1 Yale,10/18/2025,* at Harvard,L 2-4,564
11/01/2025,"Princeton, N.J.",* Dartmouth 0 - 1 Princeton,10/25/2025,* at Cornell,L 1-2,364
11/01/2025,"Philadelphia, Pa.",* Yale 0 - 3 Penn,11/01/2025,* Columbia,W 1-0,379
11/01/2025,"Providence, RI",* Columbia 0 - 1 Brown,11/08/2025,* at Yale,L 0-1,247
11/01/2025,"Cambridge, Mass.",* Harvard 0 - 0 Cornell,,,,
10/28/2025,0,Columbia 5 - 1 Fordham,* = Conference game,,,
10/25/2025,"Hanover, N.H.",* Dartmouth 0 - 2 Penn,,,,
10/25/2025,"New Haven, CT",* Yale 0 - 4 Princeton,"Columbia (3-8-4, 1-5-1)",,,
10/25/2025,"New York, NY",* Columbia 3 - 1 Harvard,Date,Opponent,Result,Attendance
10/25/2025,"Ithaca, N.Y.",* Brown 1 - 2 Cornell,08/29/2025,at Lehigh,L 1-2,374
10/22/2025,"Easton, Mass.",Harvard 4 - 2 Stonehill,09/05/2025,Villanova,T 0-0,317
10/21/2025,0,Dartmouth 0 - 2 Massachusetts,09/10/2025,at Fairfield,T 1-1,499
10/21/2025,"ITHACA, N.Y.",Cornell 2 - 1 Syracuse,09/15/2025,Manhattan,W 2-0,236
10/21/2025,"Princeton, N.J.",Princeton 0 - 0 Bryant,09/18/2025,at FDU,L 0-1,123
10/18/2025,"New Haven, CT",* Dartmouth 1 - 0 Yale,09/23/2025,at Hofstra,L 1-2,388
